600098.SS	2015-07-09	7.61	7.61	2015-07-22	11.92	12.67
600099.SS	2015-07-09	13.37	13.37	2015-07-22	13.37	13.37
600100.SS	2015-07-09	11.65	12.57535	2015-07-22	19.35	21.07
600101.SS	2015-07-09	7.20	8.17	2015-07-22	10.35	10.80
600103.SS	2015-07-09	5.00	5.00	2015-07-22	6.55	7.13
600104.SS	2015-07-09	22.99	23.89072	2015-07-22	22.70	21.92
600105.SS	2015-07-09	18.43	18.43	2015-07-22	24.00	23.80
600106.SS	2015-07-09	5.77	7.05	2015-07-22	9.65	9.53
600107.SS	2015-07-09	7.04	8.60	2015-07-22	11.30	12.67
600108.SS	2015-07-09	5.51	6.06	2015-07-22	7.90	8.33
600109.SS	2015-07-09	16.58	16.58	2015-07-22	19.99	19.92
600110.SS	2015-07-09	13.73	13.73	2015-07-22	13.73	13.73
600111.SS	2015-07-09	13.00	14.30	2015-07-22	16.22	16.20
600112.SS	2015-07-09	9.90	11.27545	2015-07-22	16.61	16.72
600113.SS	2015-07-09	14.64	17.70	2015-07-22	13.68	13.39
600114.SS	2015-07-09	9.45	10.67	2015-07-22	16.60	16.38
600115.SS	2015-07-09	6.81	8.33	2015-07-22	11.80	11.99
600116.SS	2015-07-09	9.86	11.92611	2015-07-22	15.75	15.86
600117.SS	2015-07-09	6.15	6.15	2015-07-22	7.59	7.69
600118.SS	2015-07-09	28.32	34.62	2015-07-22	51.79	56.12
600119.SS	2015-07-09	13.81	13.81	2015-07-22	19.52	20.46
600120.SS	2015-07-09	18.90	20.70	2015-07-22	29.60	30.98
600121.SS	2015-07-09	6.17	6.17	2015-07-22	7.80	7.96
600122.SS	2015-07-09	16.42	16.42	2015-07-22	16.42	16.42
600123.SS	2015-07-09	6.75	7.61	2015-07-22	8.87	8.99
600125.SS	2015-07-09	9.12	9.12	2015-07-22	12.10	12.13
600126.SS	2015-07-09	5.40	6.60	2015-07-22	9.02	8.83
600127.SS	2015-07-09	6.51	7.95	2015-07-22	9.50	10.29
600128.SS	2015-07-09	8.98	10.88911	2015-07-22	14.45	15.50
600129.SS	2015-07-09	13.35	16.31	2015-07-22	26.01	25.93
600130.SS	2015-07-09	8.99	10.99	2015-07-22	11.30	11.02
600131.SS	2015-07-09	5.98	7.30	2015-07-22	8.84	8.98
600132.SS	2015-07-09	14.01	15.10	2015-07-22	18.07	18.35
600133.SS	2015-07-09	5.76	7.04	2015-07-22	8.71	9.02
600135.SS	2015-07-09	9.63	11.77	2015-07-22	16.44	16.79
600136.SS	2015-07-09	25.24	25.24	2015-07-22	25.24	25.24
600137.SS	2015-07-09	43.84	43.84	2015-07-22	43.84	43.84
600138.SS	2015-07-09	16.65	18.13	2015-07-22	23.30	22.00
600139.SS	2015-07-09	22.12	22.12	2015-07-22	22.12	22.12
600141.SS	2015-07-09	10.11	11.89	2015-07-22	14.40	14.95
600143.SS	2015-07-09	7.30	8.17	2015-07-22	10.78	11.13
600145.SS	2015-07-09	6.66	6.66	2015-07-22	6.66	6.66
600146.SS	2015-07-09	26.58	26.58	2015-07-22	26.58	26.58
600148.SS	2015-07-09	11.51	14.07	2015-07-22	25.19	27.17
600149.SS	2015-07-09	11.29	11.29	2015-07-22	15.97	15.97
600150.SS	2015-07-09	30.75	33.83	2015-07-22	42.20	43.47
600151.SS	2015-07-09	9.10	10.35	2015-07-22	13.99	14.37
600152.SS	2015-07-09	5.83	7.12	2015-07-22	10.00	10.07
600153.SS	2015-07-09	17.51	17.31	2015-07-22	17.51	17.31
600155.SS	2015-07-09	14.98	14.98	2015-07-22	14.98	14.98
600156.SS	2015-07-09	6.80	6.80	2015-07-22	9.86	9.90
600157.SS	2015-07-09	4.35	4.35	2015-07-22	6.06	6.05
600158.SS	2015-07-09	13.95	16.75	2015-07-22	23.03	23.40
